node,total_income,total_traffic,failed_traffic_ratio,opt_delta,income_diff
0332052748755d74b3395b91eaea78b53bd64b55eb031ccb6a7ae23ac445bb6af7,8.48,8,0.25,58.94,171.51999999999998
02262bbc21c171bc91a1d6bbf89571c95873849b9a60d3ea9671b777d852d39ecd,8.48,8,0.125,53.0,99.64
03b1be68b8f564fe53f5456cf4bec901ba968fb72ed7291279ab0c87e0d22f1f49,8.48,8,0.625,60.0,357.88
03a8334aba5660e241468e2f0deb2526bfd50d0e3fe808d882913e39094dc1a028,8.48,8,0.375,4.88,15.28
03021c5f5f57322740e4ee6936452add19dc7ea7ccf90635f95119ab82a62ae268,8.48,8,0.125,149.94,444.52
02d35ad6428b083d63575e3b0ce33e06c507910c131970b07dc194953b43a9794c,8.0,5,0.8,5.4,27.0
03301e633b25d769377bf75ce6b6ed2ec570270bc06c8c02bf33c5bd2aa47da098,8.0,5,0.0,35.9,29.5
03c492f46d8e0a6256bb9c5c42f2aed24717f70a3f39e0961419dee511688e3110,8.0,5,0.8,591.34,2956.7000000000003
032ebdae3314f072acd70e66e18572e6ba27f96918009369585e7cdcf36af3cf9e,8.0,5,0.2,0.0,0.0
027c3b1cc5a649d5f6f7be2d591e34c37dc146fbed54d7f4c85898f9330107fe1c,8.0,5,0.0,0.0,0.0
02964c50e89786896df7e5d10d7bb6995b0bbdaf891ff24fbcc52b75aae544e514,7.42,7,0.2857142857142857,36.44,105.08
02445ff6a24e69242d6f6f38e1b7e8ae9c01eb9b660f3daf3304cb4b7cfeb79a99,7.42,7,0.0,30.87,24.509999999999998
034b2c0bdf0f85acf30ed8527862d229b9f4d6c42eaf72eed8a66e9fc3f8159550,7.42,7,0.0,0.0,0.0
032271efcb35188ef00e3f28469a2bb18b50a5f2f325bd130bdac341af24e9b5f0,7.42,7,0.5714285714285714,28.38,169.22
03f02d965aea25de84613ad2be36573d2bd8c6d6dd47d9a516d233098c281d3ae7,7.42,7,0.0,136.94,130.57999999999998
036ac04a69f2ab587fd83c4f2aca255a81f138276fbca344ac3ecfae28d733be56,7.42,7,0.5714285714285714,30.5,181.94
0223606a0d738aad783a53c82a2553cb63ae256284326165b9390d2324107d5639,7.0,1,0.0,138.0,138.0
